18820302N;1
89020897Z;2
10224306E;2
11615346K;2
92722772R;2
85643977W;2
90216452V;1
00104143K;0
65048166E;2
18820302N;1
01415676R;1
48323930Q;0
12032900N;2
12463874T;2
07967285G;2
05306402P;1
82723647O;0
27271537J;0
92125171D;0
66064365A;1
20244606D;0
43937451Z;1
65384157S;0
94459436H;0
83653953Y;1
79426983H;0
92552609J;1
83249816Y;0
47195949T;1
05306402P;1
07967285G;0
00082757T;0
28661130E;1
97522937U;2
02562421Q;2
25682146I;0
50302550V;1
44922620X;1
94459436H;1
00082757T;0
51137176G;1
50490564M;2
77580810V;2
10274397Z;2
16546292I;2
42677028E;1
99437196I;1
87448652T;1
83653953Y;1
07464970V;2
83249816Y;2
63670540B;2
83834945L;0
84302065W;2
35137977K;1
00861155W;1
42755496G;1
05075028X;0
43937451Z;0
15557514S;1
99939379X;0
96174459D;0
65805683K;1
10274397Z;2
12032900N;2
40105017S;0
04498492W;2
54159269V;1
21008792A;0
66252341G;2
26402376G;0
82187188M;0
42677028E;1
25682146I;2
63670540B;1
44032038E;2
59145668J;1
87516916Q;2
89762621W;1
42329688P;2
42677028E;0
59079176A;0
35606489L;0
01999530L;0
83653953Y;0
18820302N;2
83249816Y;1
65384157S;0
80767116U;1
06481588C;0
83834945L;0
97358547N;1
12463874T;1
82187188M;1
44071308W;1
30009106L;1
97522937U;2
05591010N;1
77452527A;2
27271537J;1
54159269V;2
75227276C;1
05591010N;2
37761577D;1
07967285G;0
35496994U;0
64173764B;0
22470739E;2
99939379X;2
66064365A;0
12032900N;0
40970862O;2
92552609J;0
58560221L;2
05885679I;0
94037225N;2
81757743U;2
34018675E;2
07056387C;0
83249816Y;2
94291373J;0
55906031V;2
80181555U;2
26658032A;1
16675192M;0
22470739E;1
56917821L;2
70757476M;1
47195949T;0
05075028X;0
07074568Q;2
40220037U;0
80181555U;2
79446982Y;2
54149689D;1
98911238Q;2
11615346K;2
70757476M;0
90023883H;1
70316042A;0
05306402P;1
65805683K;0
67164749G;1
42755496G;2
65176920W;1
52067930O;1
02273993J;1
97522937U;2
01559875T;1
66252341G;1
40105017S;1
80767116U;1
92125171D;2
25273300E;2
50490564M;2
89762621W;1
47195949T;1
35606489L;0
72269275T;0
22980028B;0
26658032A;2
00861155W;1
94291373J;2
70316042A;1
20244606D;2
87516916Q;0
44071308W;0
18820302N;0
42677028E;0
92298807H;1
36529476U;0
26858995I;1
58568098K;0
06481588C;0
42755496G;1
40970862O;2
65048166E;2
18074883C;0
65805683K;2
48323930Q;2
97358547N;2
21008792A;1
48578647K;0
26439095E;1
10224306E;0
05306402P;2
16220730G;2
10070193S;2
22980028B;0
35496994U;2
93505624M;1
83822141B;0
67406812O;0
35496994U;1
80181555U;2
07464970V;0
77219790A;2
94291373J;0
86422637F;1
72182237S;0
35906620C;2
16546292I;1
07967285G;0
50028480M;1
84078285V;2
12032900N;1
42329688P;2
37033415V;0
16675192M;2
13811417L;2
28661130E;2
83653953Y;1
97773647B;0
97522937U;1
55906031V;0
44071308W;2
96270104R;0
16220730G;2
36557323Z;2
36529476U;1
65385700W;2
35496994U;0
79739054M;1
60904696T;1
35137977K;0
66252341G;1
30001766J;0
35906620C;0
17855800Y;2
89762621W;0
48553267E;0
68711824N;1
16546292I;2
05075028X;2
97522937U;0
00104143K;0
48200566P;2
96524702W;2
18074883C;2
59079176A;2
42915220D;1
48381392X;0
80181555U;1
89020897Z;2
94824147D;1
48381392X;0
18820302N;2
21008792A;2
92125171D;0
43606119J;2
68711824N;0
35137977K;1
16220730G;1
97358547N;0
50028480M;2
99939379X;0
07056387C;2
65384157S;1
35496994U;2
48578647K;0
92298807H;0
95724631E;2
40220037U;1
77219790A;0
67164749G;2
96445420T;1
28661130E;2
05885679I;0
72269275T;0
81757743U;2
35606489L;0
15557514S;1
64173764B;0
00861155W;1
12398485B;0
64173764B;2
68797416Z;2
84390750T;1
66064365A;1
43937451Z;2
26658032A;0
37761577D;1
44071308W;2
89020897Z;1
28925342J;0
11507368U;1
28661130E;1
31731387K;0
07056387C;0
26858995I;2
59079176A;1
80181555U;1
44922620X;0
92125171D;2
37761577D;0
28661130E;1
66252341G;2
48381392X;0
82187188M;0
97522937U;0
17855800Y;1
43937451Z;0
17855800Y;2
95352698P;0
68977231U;0
41750788O;0
35606489L;1
28659346N;0
94824147D;0
72046317O;1
98911238Q;2
92125171D;1
63670540B;0
12752667C;1
42915220D;1
11507368U;2
11507368U;0
32908372T;1
29035143N;1
50302550V;2
25273300E;2
15432942Q;0
36529476U;0
84302065W;2
36557323Z;0
30001766J;1
21690145W;0
49302061A;0
16546292I;0
38597182V;0
10224306E;1
27271537J;2
38437286D;0
92552609J;0
28659346N;2
83249816Y;0
77580810V;1
95724631E;2
90023883H;2
38437286D;1
07056387C;2
48200566P;0
90023883H;1
27271537J;0
43937451Z;2
96761557J;2
70316042A;1
37761577D;2
68711824N;1
63670540B;2
80181555U;2
05758339D;0
17855800Y;2
66252341G;1
62438244S;0
48578647K;2
67406812O;2
92298807H;2
50028480M;1
35843010B;1
05994426Z;2
47595928T;1
07056387C;0
21008792A;0
68977231U;2
97773647B;0
48553267E;1
50028480M;1
15557514S;2
31731387K;1
00082757T;0
50028480M;1
92298807H;0
77452527A;1
42677028E;1
43937451Z;1
15432942Q;2
83822141B;1
54159269V;0
26671178S;2
29748207J;0
16220730G;0
